frame,timestamp_sec,valid_ratio,depth_mean_mm,depth_std_mm,depth_min_mm,depth_max_mm,depth_p25_mm,depth_p75_mm
161,10.8667,0.0307,2760.1,1333.9,515,4892,1556.0,3860.0
162,10.9334,0.0323,2699.4,1322.2,515,4892,1550.0,3849.0
163,11.0001,0.0317,2727.8,1326.2,515,4892,1552.0,3855.0
164,11.0667,0.0314,2686.1,1323.2,515,4892,1549.0,3849.0
165,11.1334,0.0312,2684.0,1331.8,515,4892,1547.0,3849.0
166,11.2001,0.0311,2680.3,1322.3,515,4892,1547.0,3849.0
167,11.2667,0.0304,2667.0,1326.1,515,4892,1545.0,3847.0
168,11.3334,0.031,2702.1,1329.9,515,4892,1550.0,3854.0
169,11.4001,0.0309,2688.5,1313.4,515,4892,1551.0,3848.0
170,11.4667,0.0317,2641.2,1319.7,515,4892,1544.0,3846.0
171,11.5334,0.0319,2619.7,1339.8,515,4892,1540.0,3845.0
172,11.6001,0.0319,2632.2,1332.7,515,4892,1540.0,3845.0
173,11.6667,0.0321,2641.3,1335.5,515,4892,1541.0,3846.0
174,11.7334,0.0331,2632.8,1323.2,515,4892,1540.0,3844.0
175,11.8001,0.0342,2606.8,1325.6,515,4892,1540.0,3844.0
176,11.8667,0.0348,2629.4,1324.2,515,4892,1540.0,3844.0
177,11.9334,0.0347,2639.2,1314.0,515,4892,1543.0,3844.0
178,12.0001,0.0351,2647.7,1331.2,515,4892,1541.0,3845.0
179,12.0667,0.035,2634.7,1325.7,515,4892,1540.0,3844.0
180,12.1334,0.0355,2624.6,1322.7,515,4892,1540.0,3844.0
181,12.2001,0.0353,2597.7,1324.3,515,4892,1540.0,3612.0
182,12.2667,0.0357,2582.2,1332.9,515,4892,1302.0,3612.0
183,12.3334,0.0353,2564.1,1332.1,515,4892,1302.0,3611.8
184,12.4001,0.0356,2580.8,1336.4,515,4892,1302.0,3844.0
185,12.4667,0.0355,2574.3,1329.2,515,4892,1308.0,3605.0
186,12.5334,0.0357,2585.1,1328.6,515,4892,1308.0,3612.0
187,12.6001,0.0367,2579.1,1325.9,515,4892,1539.0,3606.0
188,12.6667,0.0362,2540.9,1312.1,515,4892,1307.0,3600.0
189,12.7334,0.0362,2570.2,1317.6,515,4892,1308.0,3605.0
190,12.8001,0.0362,2572.6,1326.5,515,4892,1307.0,3606.0
191,12.8667,0.0353,2554.2,1335.0,515,4892,1300.0,3605.0
192,12.9334,0.0348,2541.7,1330.5,515,4892,1300.0,3604.0
193,13.0001,0.0348,2535.1,1327.5,515,4892,1300.0,3604.0
194,13.0667,0.0344,2566.8,1332.2,515,4892,1301.0,3606.0
195,13.1334,0.0353,2597.6,1311.1,515,4892,1540.0,3605.0
196,13.2001,0.0357,2644.6,1339.1,515,4892,1540.0,3846.0
197,13.2667,0.0357,2631.8,1322.1,515,4892,1541.0,3844.0
198,13.3334,0.0313,2644.0,1328.2,515,4892,1542.0,3846.0
199,13.4001,0.0313,2665.2,1328.6,515,4892,1542.0,3848.0
200,13.4667,0.0313,2670.5,1332.8,515,4892,1545.0,3850.0
201,13.5334,0.0311,2664.0,1336.0,515,4892,1544.0,3851.0
202,13.6001,0.0307,2688.1,1329.7,515,4892,1549.0,3852.0
203,13.6667,0.0307,2681.3,1327.5,515,4892,1547.0,3851.0
204,13.7334,0.0305,2666.1,1331.3,515,4892,1544.0,3850.0
205,13.8001,0.0304,2664.1,1332.9,515,4892,1543.0,3850.0
206,13.8667,0.0293,2684.7,1332.8,515,4892,1548.0,3853.0
207,13.9334,0.0297,2670.6,1334.5,515,4892,1547.0,3850.0
208,14.0001,0.0303,2651.8,1318.8,515,4892,1544.0,3845.0
209,14.0667,0.0306,2656.1,1330.9,515,4892,1543.0,3849.0
210,14.1334,0.0306,2700.9,1334.5,515,4892,1549.0,3855.0
211,14.2001,0.0316,2632.1,1332.2,515,4892,1540.0,3846.0
212,14.2667,0.0319,2588.6,1314.2,515,4892,1540.0,3605.0
213,14.3334,0.0325,2609.1,1310.3,515,4892,1540.0,3606.0
214,14.4001,0.0318,2624.5,1337.0,515,4897,1540.0,3844.0
215,14.4667,0.0319,2614.9,1326.0,515,4897,1540.0,3844.0
216,14.5334,0.0315,2624.6,1337.4,515,4892,1540.0,3845.0
217,14.6001,0.0316,2621.0,1344.8,515,4892,1540.0,3846.0
218,14.6667,0.0326,2597.4,1332.7,515,4892,1302.0,3612.0
219,14.7334,0.0324,2615.6,1335.4,515,4892,1540.0,3844.0
220,14.8001,0.0326,2600.0,1325.7,515,4892,1540.0,3844.0
221,14.8667,0.0323,2631.9,1327.8,515,4892,1540.0,3844.0
222,14.9334,0.0329,2609.7,1332.0,515,4892,1540.0,3844.0
223,15.0001,0.0321,2620.6,1320.5,515,4892,1541.0,3844.0
224,15.0667,0.0328,2617.0,1319.2,515,4892,1540.0,3844.0
225,15.1334,0.0324,2615.4,1334.4,515,4892,1540.0,3844.0
226,15.2001,0.0319,2655.9,1324.9,515,4892,1542.0,3846.0
227,15.2667,0.0326,2630.3,1341.1,515,4892,1540.0,3846.0
228,15.3334,0.0315,2599.5,1336.1,515,4892,1540.0,3844.0
229,15.4001,0.0318,2614.5,1342.1,515,4892,1540.0,3844.0
230,15.4667,0.0307,2619.4,1341.0,515,4892,1540.0,3845.0
231,15.5334,0.0314,2604.9,1332.9,515,4892,1540.0,3844.0
232,15.6001,0.0313,2625.3,1348.1,515,4892,1540.0,3847.0
233,15.6667,0.0313,2609.8,1334.5,515,4892,1540.0,3844.0
234,15.7334,0.0313,2628.8,1336.7,515,4892,1540.0,3846.0
235,15.8001,0.0315,2627.2,1342.2,515,4892,1540.0,3846.0
236,15.8667,0.0317,2641.8,1327.2,515,4892,1540.0,3845.8
237,15.9334,0.0319,2624.7,1338.4,515,4892,1540.0,3845.0
238,16.0,0.0319,2653.6,1337.2,515,4897,1541.0,3847.0
239,16.0667,0.0327,2630.0,1334.4,515,4892,1540.0,3845.0
240,16.1334,0.0328,2649.2,1336.6,515,4892,1540.0,3846.0
241,16.2001,0.0329,2650.4,1317.8,515,4892,1544.0,3845.0
242,16.2667,0.0325,2599.2,1334.4,515,4897,1540.0,3844.0
243,16.3334,0.0327,2604.8,1340.9,515,4892,1540.0,3845.0
244,16.4001,0.0332,2599.4,1326.3,515,4892,1540.0,3844.0
245,16.4667,0.0333,2620.7,1332.8,515,4892,1540.0,3844.0
246,16.5334,0.0338,2603.4,1320.1,515,4892,1540.0,3844.0
247,16.6001,0.0333,2598.2,1335.1,515,4892,1365.8,3844.0
248,16.6667,0.0343,2605.2,1328.8,515,4892,1540.0,3844.0
249,16.7334,0.034,2593.1,1331.2,515,4892,1540.0,3844.0
250,16.8001,0.0333,2617.1,1327.1,515,4892,1540.0,3844.0
251,16.8667,0.034,2570.4,1341.0,515,4892,1300.0,3611.0
252,16.9334,0.034,2570.6,1334.5,515,4892,1302.0,3611.0
253,17.0001,0.0338,2587.3,1341.9,515,4892,1302.0,3844.0
254,17.0667,0.0345,2598.0,1326.7,515,4892,1540.0,3844.0
255,17.1334,0.034,2596.9,1339.1,515,4900,1302.0,3844.0
256,17.2001,0.0338,2576.3,1339.4,515,4892,1301.0,3843.0
257,17.2667,0.0334,2570.1,1341.3,515,4892,1300.0,3606.0
258,17.3334,0.0336,2585.0,1345.1,515,4892,1301.0,3844.0
